Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;29719;"Reviews of Modern Physics";journal;"00346861, 15390756";17,337;Q1;298;42;127;14771;4952;120;37,78;351,69;United States;"American Physical Society";"1929-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
2;4000151822;"Nature Physics";journal;"17452473";9,515;Q1;233;335;889;8799;11422;637;16,44;26,27;United Kingdom;"Nature Publishing Group";"2006-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
3;29229;"Physics Reports";journal;"03701573";8,684;Q1;248;41;174;13662;4313;172;27,99;333,22;Netherlands;"Elsevier BV";"1971-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
4;28677;"Living Reviews in Relativity";journal;"14338351";7,304;Q1;75;7;13;3063;256;13;24,20;437,57;Germany;"Albert Einstein Institut";"2000-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
5;21100201772;"Physical Review X";journal;"21603308";6,497;Q1;86;280;609;18225;8117;589;12,09;65,09;United States;"American Physical Society";"2011-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
6;29709;"Reports on Progress in Physics";journal;"13616633, 00344885";6,437;Q1;184;77;221;19708;3887;218;16,40;255,95;United Kingdom;"Institute of Physics Publishing";"1934-1942, 1944, 1947, 1949-ongoing";"Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
7;11500153511;"ACS Nano";journal;"1936086X, 19360851";6,214;Q1;310;1339;3946;71069;56018;3857;13,70;53,08;United States;"American Chemical Society";"2007-ongoing";"Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Physics and Astronomy (miscellaneous) (Q1)"
8;19700182758;"Nature Communications";journal;"20411723";5,992;Q1;248;5664;11692;273530;141425;10983;11,80;48,29;United Kingdom;"Nature Publishing Group";"2010-ongoing";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
9;21100470165;"Advanced Science";journal;"21983844";5,012;Q1;54;396;468;26111;6284;456;13,98;65,94;Germany;"Wiley-VCH Verlag";"2015-ongoing";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemical Engineering (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
10;21100327726;"Applied Physics Reviews";journal;"19319401";4,099;Q1;40;52;120;10969;1568;117;11,45;210,94;United States;"AIP Publishing LLC";"2014-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
11;29150;"Physical Review Letters";journal;"10797114, 00319007";3,571;Q1;567;2883;7687;131076;66449;7363;9,20;45,47;United States;"American Physical Society";"1958-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
12;18158;"Computer Methods in Applied Mechanics and Engineering";journal;"00457825";2,996;Q1;171;444;1248;22830;7221;1233;5,44;51,42;Netherlands;"Elsevier BV";"1972-ongoing";"Computational Mechanics (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Physics and Astronomy (miscellaneous) (Q1)"
